"\colhead{Name}","\colhead{R.A.}","\colhead{Dec.}","\colhead{Type}","\colhead{Notes}","\colhead{V$_{\rm LSR}$}","\colhead{D$_{25}$}","\colhead{Inc}","\colhead{PA}","\colhead{Dist}"
"UGC06312","$11^{\rm h}18^{\rm m}00\fs0$","$+07^\circ50\arcmin40\farcs7$","Sa","B","6266","71","69","225","90.0"
"UGC07012","$12^{\rm h}02^{\rm m}03\fs1$","$+29^\circ50\arcmin53\farcs1$","SBc","B","3052","65","60","184","44.3"
"UGC08107","$12^{\rm h}59^{\rm m}39\fs8$","$+53^\circ20\arcmin28\farcs6$","IB","B","8201","137","71","228","121.6"
"UGC08250","$13^{\rm h}10^{\rm m}20\fs2$","$+32^\circ28\arcmin57\farcs3$","Sc","","5169","79","76","12","76.0"
"UGC08267","$13^{\rm h}11^{\rm m}11\fs4$","$+43^\circ43\arcmin35\farcs4$","Sb","","7159","67","75","223","103.7"
"UGC09067","$14^{\rm h}10^{\rm m}45\fs4$","$+15^\circ12\arcmin33\farcs1$","Sab","","7740","49","62","15","114.5"
"UGC09476","$14^{\rm h}41^{\rm m}31\fs9$","$+44^\circ30\arcmin45\farcs7$","SABc","B","3243","90","48","307","46.6"
"UGC09537","$14^{\rm h}48^{\rm m}26\fs6$","$+34^\circ59\arcmin52\farcs7$","Sb","","8662","134","72","136","130.1"
"UGC09542","$14^{\rm h}49^{\rm m}01\fs2$","$+42^\circ27\arcmin50\farcs3$","Sc","","5413","86","73","214","79.7"
"UGC09665","$15^{\rm h}01^{\rm m}32\fs5$","$+48^\circ19\arcmin11\farcs2$","Sbc","","2561","102","74","138","36.5"
"UGC09759","$15^{\rm h}10^{\rm m}40\fs8$","$+55^\circ21\arcmin01\farcs4$","Sb","","3394","80","67","50","49.2"
"UGC09873","$15^{\rm h}29^{\rm m}50\fs6$","$+42^\circ37\arcmin44\farcs3$","Sc","","5575","80","75","129","91.5"
"UGC09892","$15^{\rm h}32^{\rm m}52\fs0$","$+41^\circ11\arcmin29\farcs0$","Sb","","5591","78","72","101","82.2"
"UGC09919","$15^{\rm h}35^{\rm m}39\fs4$","$+12^\circ36\arcmin22\farcs6$","Sc","","3160","89","78","349","47.1"
"UGC10043","$15^{\rm h}48^{\rm m}41\fs4$","$+21^\circ52\arcmin10\farcs1$","Sbc","","2154","132","90","328","31.0"
"UGC10123","$15^{\rm h}59^{\rm m}02\fs7$","$+51^\circ18\arcmin16\farcs5$","Sab","","3738","69","70","235","53.8"
"UGC10205","$16^{\rm h}06^{\rm m}40\fs3$","$+30^\circ05\arcmin56\farcs4$","Sa","","6491","87","52","129","94.9"
"UGC10331","$16^{\rm h}17^{\rm m}21\fs1$","$+59^\circ19\arcmin12\farcs3$","Sb","","4415","87","76","141","64.8"
"UGC10380","$16^{\rm h}25^{\rm m}49\fs7$","$+16^\circ34\arcmin33\farcs9$","Sb","","8624","93","78","288","110.8"
"UGC10384","$16^{\rm h}26^{\rm m}46\fs6$","$+11^\circ34\arcmin48\farcs7$","Sab","","4929","70","70","278","71.8"
"UGC10710","$17^{\rm h}06^{\rm m}52\fs5$","$+43^\circ07\arcmin19\farcs5$","Sb","","8228","100","70","330","121.7"
